1	CA	进入配对模式
2	CB	退出配对模式
3	CC	连接蓝牙免提
4	CD	断开蓝牙免提
5	CE	接听电话
6	CF	拒绝接听
7	CG	挂断电话
8	CH	重拨
9	CM	MIC静音/取消MIC静音
10	CO	切换蓝牙声音
11	CR	启动/停止手机端语音识别功能
12	CW	拨打电话
13	CX	发送DTMF
14	CY	查询免提状态
15	XX	保留
16	MA	播放音乐
17	MB	暂停音乐
18	MD	下一曲
19	ME	上一曲
20	MV	查询A2DP状态
21	MO	查询AVRCP状态
22	MI	连接最后一个AV设备
23	MJ	断开A2DP连接
24	XX	保留
25	XX	保留
26	XX	保留
27	XX	保留
28	XX	保留
29	XX	保留
30	XX	保留
31	XX	蓝牙触摸控制(暂无)
32	XX	蓝牙触摸控制(暂无)
33	XX	蓝牙触摸控制(暂无)
34	XX	蓝牙触摸控制(暂无)
35	XX	蓝牙触摸控制(暂无)
36	XX	蓝牙触摸控制(暂无)
37	XX	蓝牙触摸控制(暂无)
38	XX	蓝牙触摸控制(暂无)
39	XX	蓝牙触摸控制(暂无)
40	XX	蓝牙触摸控制(暂无)
41	XX	蓝牙触摸控制(暂无)
42	XX	蓝牙触摸控制(暂无)
43	XX	蓝牙触摸控制(暂无)
44	XX	蓝牙触摸控制(暂无)
45	XX	蓝牙触摸控制(暂无)
46	PA	启动同步联系人
47	PW	断开同步联系人
48	XX	保留
49	XX	保留
50	XX	保留
51	XX	保留
52	XX	保留
53	XX	保留
54	XX	保留
55	XX	保留
56	XX	保留
57	XX	保留
58	XX	保留
59	XX	保留
60	XX	保留
61	MM	查询/修改本地设备名
62	MN	查询/修改本地PIN码
63	MX	查询排队的设备列表
64	MR	删除配对的设备
65	MZ	查询本地蓝牙地址
66	MF	查询自动接听和加电自动连接的设置
67	MG	打开加电自动连接
68	MH	关闭加电自动连接
69	MP	打开自动接听
70	MQ	关闭自动接听
71	MK	设置/查询音量
72	XX	保留
73	XX	保留
74	XX	保留
75	XX	保留
